account_id,created_at,creator_id,members,company_size,status,first_plan,last_plan,first_date_mrr,last_date_mrr,seats
3074457346460557942,2019-02-18 07:49:50 UTC,3074457346460536988,1,,,,,,,
3074457346442435202,2019-02-08 02:44:48 UTC,3074457346442490806,1,,,,,,,
3074457346470833363,2019-02-22 15:07:21 UTC,3074457345969139586,1,,,,,,,
3074457346437096538,2019-02-05 17:20:41 UTC,3074457346437085786,1,,,,,,,
3074457346465009750,2019-02-20 03:35:31 UTC,3074457346464977882,1,,,,,,,
3074457346477971869,2019-02-26 16:10:49 UTC,3074457346477855591,1,,,,,,,
3074457346475203515,2019-02-25 14:48:23 UTC,3074457346475203513,1,,,,,,,
3074457346454229083,2019-02-14 06:26:48 UTC,3074457346454229082,1,,,,,,,
3074457346469784814,2019-02-22 04:14:56 UTC,3074457346469805967,1,,,,,,,
3074457346449350672,2019-02-12 06:17:03 UTC,3074457346449350670,1,,,,,,,
3074457346479193255,2019-02-27 06:56:13 UTC,3074457346479204255,1,,,,,,,
3074457346479606677,2019-02-27 10:41:43 UTC,3074457346479606674,1,,,,,,,
3074457346476634088,2019-02-26 06:47:40 UTC,3074457346476563397,1,,,,,,,
3074457346436214215,2019-02-05 12:43:42 UTC,3074457346436206948,1,,,,,,,
3074457346445788330,2019-02-10 09:49:23 UTC,3074457346445788302,1,,,,,,,
3074457346480744145,2019-02-27 17:16:38 UTC,3074457346480744143,1,,,,,,,
3074457346474753664,2019-02-25 11:33:21 UTC,3074457346474722038,1,,,,,,,
3074457346469221123,2019-02-21 18:41:24 UTC,3074457346469098191,1,,,,,,,
3074457346443773219,2019-02-08 16:00:09 UTC,3074457346443762744,1,,,,,,,
3074457346458839354,2019-02-16 18:08:22 UTC,3074457346458839352,1,,,,,,,
3074457346456128553,2019-02-15 01:32:47 UTC,3074457346456202661,1,,,,,,,
3074457346469990260,2019-02-22 08:49:41 UTC,3074457346470042790,1,,,,,,,
3074457346479550013,2019-02-27 10:30:40 UTC,3074457346479533214,1,,,,,,,
3074457346461899369,2019-02-18 17:46:24 UTC,3074457346461892182,1,,,,,,,
3074457346447112764,2019-02-11 07:44:00 UTC,3074457346088856140,1,,,,,,,
3074457346438315087,2019-02-06 10:59:15 UTC,3074457346437988106,1,,,,,,,
