user_id,time
3074457346471960832,2019-02-24 20:25:31 UTC
3074457346439065344,2019-02-13 17:38:00 UTC
3074457346453817344,2019-02-22 08:20:34 UTC
3074457346451216384,2019-02-27 22:43:03 UTC
3074457346431313152,2019-06-13 15:54:32 UTC
3074457346440161024,2019-02-12 14:26:39 UTC
3074457346445932544,2019-02-26 14:34:10 UTC
3074457346445932544,2019-02-26 14:36:37 UTC
3074457346464553985,2019-02-21 19:27:36 UTC
3074457346483366657,2019-05-31 16:07:18 UTC
3074457346483366657,2019-05-31 15:47:47 UTC
3074457346483366657,2019-05-31 16:11:34 UTC
3074457346483366657,2019-05-31 15:46:40 UTC
3074457346450681857,2019-02-18 19:23:07 UTC
3074457346462096385,2019-05-29 02:07:30 UTC
3074457346462096385,2019-02-21 20:47:25 UTC
3074457346462096385,2019-02-21 20:48:52 UTC
3074457346451105025,2019-02-12 21:20:05 UTC
3074457346463844354,2019-03-06 09:40:26 UTC
3074457346060083458,2019-03-14 08:28:32 UTC
3074457346439606530,2019-05-25 03:20:16 UTC
3074457346451895298,2019-02-15 03:26:09 UTC
3074457346459105538,2019-02-17 03:01:56 UTC
3074457346469339395,2019-05-13 16:10:53 UTC
3074457346469339395,2019-05-13 16:05:35 UTC
3074457346469339395,2019-05-13 15:54:20 UTC
3074457346441518595,2019-02-12 11:35:53 UTC
3074457346443038467,2019-02-18 11:21:05 UTC
3074457346480067331,2019-02-27 14:06:05 UTC
3074457346480067331,2019-02-27 14:04:21 UTC
3074457346480067331,2019-02-27 14:06:05 UTC
3074457346449268483,2019-02-12 04:19:35 UTC
3074457346438069763,2019-02-07 18:21:44 UTC
3074457346438216708,2019-04-11 15:10:45 UTC
3074457345863477252,2019-02-21 10:46:20 UTC
3074457345863477252,2019-02-20 20:21:25 UTC
3074457346463271172,2019-02-20 09:17:30 UTC
3074457346433719044,2019-05-02 12:34:34 UTC
3074457346433719044,2019-05-20 13:03:43 UTC
3074457346433719044,2019-05-20 13:05:46 UTC
3074457346433719044,2019-05-16 13:47:27 UTC
3074457346433719044,2019-05-22 09:11:54 UTC
3074457346446131717,2019-02-10 16:07:27 UTC
3074457346446131717,2019-02-10 15:41:30 UTC
3074457346446131717,2019-02-10 16:07:27 UTC
3074457346446131717,2019-02-16 15:11:13 UTC
3074457346481211397,2019-04-12 20:37:22 UTC
3074457346451771654,2019-02-19 08:25:23 UTC
3074457346438670854,2019-02-11 11:46:39 UTC
3074457346456051206,2019-02-17 15:16:39 UTC
3074457346433841670,2019-03-14 13:30:20 UTC
3074457346483455750,2019-03-18 17:33:54 UTC
3074457346473183238,2019-03-18 12:20:13 UTC
3074457346441087239,2019-02-07 14:02:14 UTC
3074457346441087239,2019-02-07 13:58:00 UTC
3074457346441087239,2019-02-08 07:05:34 UTC
3074457346448499207,2019-05-09 11:05:42 UTC
3074457346448499207,2019-04-16 08:56:32 UTC
3074457346448499207,2019-04-16 08:57:45 UTC
3074457346448499207,2019-04-16 08:56:22 UTC
3074457346448499207,2019-04-16 09:00:48 UTC
3074457346455127815,2019-02-14 15:04:07 UTC
3074457346455127815,2019-02-14 15:00:53 UTC
3074457346471202055,2019-04-11 02:32:31 UTC
3074457346447897095,2019-02-11 14:33:31 UTC
3074457346447897095,2019-02-11 14:33:31 UTC
3074457346447897095,2019-02-11 14:33:02 UTC
3074457346447897095,2019-02-11 14:41:39 UTC
3074457346447897095,2019-02-11 14:36:36 UTC
3074457346477684488,2019-02-26 15:34:46 UTC
3074457346437383688,2019-04-16 09:49:16 UTC
3074457346449248264,2019-04-22 17:32:50 UTC
3074457346449248264,2019-02-12 04:34:04 UTC
3074457346447046408,2019-02-12 09:13:23 UTC
3074457346459696136,2019-02-24 13:32:44 UTC
3074457346463571209,2019-02-19 14:25:59 UTC
3074457346463375625,2019-03-03 15:47:46 UTC
3074457346478858761,2019-03-19 01:55:48 UTC
3074457346449499401,2019-06-10 12:03:17 UTC
3074457346468320521,2019-04-29 18:58:01 UTC
3074457346430784521,2019-02-03 19:52:30 UTC
3074457346480920585,2019-03-01 04:57:09 UTC
3074457346447896841,2019-02-12 21:59:54 UTC
3074457346454532618,2019-02-19 09:42:40 UTC
3074457345939032586,2019-02-14 16:27:58 UTC
3074457346456510986,2019-02-15 09:56:26 UTC
3074457346443536394,2019-04-23 09:59:50 UTC
